bill_mm,bill_en,organization,type,note,draft_availability,omi_note
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Ports Act ( India Act 15, 1908, Vol.VII)",Ministry of Transportation and Information and Communications Technology,Revoking,ဖွဲ့စည်းပုံဇယား(၂)နှင့်ဆိုင် တိုင်း/ပြည်နယ်ဆိပ်ခံတံတားဥပဒေများ ပြဋ္ဌာန်းပြီးလျှင် ရုပ်သိမ်းရန်,,
ပင်လယ်ရေကြောင်းသွားလာမှု သဘောတူစာချုပ်များအက်ဥပဒေ ( ဥပဒေအမှတ် ၁၉/၁၉၅၂၊ အတွဲ-၇),Maritime Conventions Law,Ministry of Transportation and Information and Communications Technology,Revoking,မြန်မာနိုင်ငံကုန်သည်သင်္ဘောဥပဒေပြဋ္ဌာန်းပြီးလျှင် ရုပ်သိမ်းရန်,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Dock Labourers Act ( India Act 19, 1934, Vol. V)","Ministry of Labours, Immigration and Population ",Revoking,လုပ်ငန်းခွင်ဘေးအန္တရာယ်ကင်းရှင်းရေးဥပဒေဖြင့် ရုပ်သိမ်းရန်,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Public Accountants Default Act ( India Act 12, 1850, Vol.I)",Union Auditor-General Office,Revoking,ဥပဒေများရုပ်သိမ်းမည့်ဥပဒေဖြင့် ရုပ်သိမ်းရန်,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Yangon Hackney Carriages Act ( Myanmar Act 4, 1917, Vol. VII)",Yangon City Development Committee,Revoking,ဥပဒေများရုပ်သိမ်းမည့်ဥပဒေဖြင့် ရုပ်သိမ်းရန်,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Yangon Development Trust Act ( India Act 5, 1920, Vol. IV)",Yangon City Development Committee,Revoking,ဥပဒေများရုပ်သိမ်းမည့်ဥပဒေဖြင့် ရုပ်သိမ်းရန်,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Yangon Water Works Act ( India Act 19, 1884, Vol. VI)",Yangon City Development Committee,Revoking,ဥပဒေများရုပ်သိမ်းမည့်ဥပဒေဖြင့် ရုပ်သိမ်းရန်,,
နိုင်ငံသားများ၏ အခွင့်အရေးများကို ကာကွယ်စောင့်ရှောက်ပေးသည့်ဥပဒေ ( ဥပဒေအမှတ် ၂/၁၉၇၅),Law Protecting Citizens’ Rights,Union Attorney-General Office,Revoking,ဥပဒေများရုပ်သိမ်းမည့်ဥပဒေဖြင့် ရုပ်သိမ်းရန်/Title:Unofficial translation into English,,
စည်ပင်သာယာရေးဥပဒေ ( ၅/၁၉၈၄),Municipal Law,Union Government Office,Revoking,ဥပဒေများရုပ်သိမ်းသည့်ဥပဒေဖြင့် ရုပ်သိမ်းရန်,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Chin Special Division ( Extension of Laws) Act,1948 ( Act 48,1948, Vol.XIII)",Union Government Office,Revoking,ဥပဒေများအားလုံးကို အာဏာတည်ရေးကိစ္စရှင်းလင်းပြီးလျှင် ရုပ်သိမ်းရေးဆောင်ရွက်ရန်,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The State ( Extension of Laws) Act,1948 ( Act 50,1948, Vol.XIII)",Union Government Office,Revoking,ဥပဒေများအားလုံးကို အာဏာတည်ရေးကိစ္စရှင်းလင်းပြီးလျှင် ရုပ်သိမ်းရေးဆောင်ရွက်ရန်,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The State ( Extension of Laws) Act,1949 ( Act 15,1949, Vol.XIII)",Union Government Office,Revoking,ဥပဒေများအားလုံးကို အာဏာတည်ရေးကိစ္စရှင်းလင်းပြီးလျှင် ရုပ်သိမ်းရေးဆောင်ရွက်ရန်,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Kayah State ( Extension of Laws) Act ( Act 35,1949, Vol.XIII)",Union Government Office,Revoking,ဥပဒေများအားလုံးကို အာဏာတည်ရေးကိစ္စရှင်းလင်းပြီးလျှင် ရုပ်သိမ်းရေးဆောင်ရွက်ရန်,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The ThanlwinDistrict ( Extension of Laws) Act,1949 (Act 61,1949, Vol.XIII)",Union Government Office,Revoking,ဥပဒေများအားလုံးကို အာဏာတည်ရေးကိစ္စရှင်းလင်းပြီးလျှင် ရုပ်သိမ်းရေးဆောင်ရွက်ရန်,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Wa States and Ko Kang State Criminal Law Extension Act, 1955 (Act 31,1955)",Union Government Office,Revoking,ဥပဒေများအားလုံးကို အာဏာတည်ရေးကိစ္စရှင်းလင်းပြီးလျှင် ရုပ်သိမ်းရေးဆောင်ရွက်ရန်,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Shan State Criminal Law and Procedure Extension Act, 1959 ( Act 45,1959)",Union Government Office,Revoking,ဥပဒေများအားလုံးကို အာဏာတည်ရေးကိစ္စရှင်းလင်းပြီးလျှင် ရုပ်သိမ်းရေးဆောင်ရွက်ရန်,,
မြန်မာနိုင်ငံကြက်ခြေနီအသင်းဥပဒေ (ပထစဥပဒေအမှတ် ၅၂/၂၀၁၅),"The Partnership Act ( India Act 9, 1932, Vol. IX)",Ministry of Planning and Finance,Amendment,,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Bills of Landing Act ( India Act 9,1856, Vol, VII)",Ministry of Transportation and Information and Communications Technology,Amendment,,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Carriers Act ( India Act 3, 1865, Vol. VII)",Ministry of Transportation and Information and Communications Technology,Amendment,,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Myanmar Carriage of Goods by Sea Act ( India Act 26, 1925, Vol.VII)",Ministry of Transportation and Information and Communications Technology,Amendment,,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Myanmar Carriage by Air Act ( India Act 20, 1934, Vol. VII)",Ministry of Transportation and Information and Communications Technology,Amendment,,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Bar Council Act ( India Act 8, 1926, Vol.XI)`",Union Attorney-General Office,Amendment,,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Caste Disability Removal Act ( India Act 21, 1850, Vol. XI)",Union Supreme Court,Amendment,,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Myanmar Divorce Act ( India Act 4, 1869, Vol, XI)",Union Supreme Court,Amendment,,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Christian Marriage Act ( India Act 15, 1872, Vol.XI)",Union Supreme Court,Amendment,,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Special Marriage Act ( India Act 3, 1872, Vol,XI)",Union Supreme Court,Amendment,,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Guardians and Wards Act ( India Act 8, 1890, Vol,XI)",Union Supreme Court,Amendment,,,
ထောက်ပံ့တင်ပို့မှုအပေါ် အကာအကွယ်ပေးရေးဥပဒေ,Counter vailing Law,Ministry of Commerce,New Draft,,,
ပေါက်စျေးအောက်လျှော့၍ ရောင်းချခြင်းကို တားဆီးရေးဥပဒေ,Anti- Dumping Law,Ministry of Commerce,New Draft,,,
သွင်းကုန်ပမာဏမြင့်တင်ခြင်းမှ အကာအကွယ်ပေးမှုဥပဒေ ,Safeguard Law,Ministry of Commerce,New Draft,,,
တီထွင်မှုမူပိုင်ခွင့်ဥပဒေ,Patent Law,Ministry of Education,New Draft,,,
အစိုးရဝယ်ယူရေးဥပဒေ,Procurement Law,Ministry of Planning and Finance,New Draft,,,
မြန်မာနိုင်ငံလွှတ်တော်အဖွဲ့ဥပဒေ,Myanmar Parliamentary Union Law,Pyidaungsu Hluttaw Office,New Draft,,,
ဥပဒေအသစ်- စာချုပ်စာတမ်းမှတ်ပုံတင်ဥပဒေ,"The Registration Act ( India Act 16, 1908. Vol. X)","Ministry of Agriculture, Livestock Breeding and Irrigation",Replacement,,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Boundaries Act ( India Act 5, 1880, Vol. X)","Ministry of Agriculture, Livestock Breeding and Irrigation",Replacement,,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Canal Act ( Myanmar Act 2, 1905, Vol. IV)","Ministry of Agriculture, Livestock Breeding and Irrigation",Replacement,,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Embankment Act ( India Act 4, 1909, Vol. IV)","Ministry of Agriculture, Livestock Breeding and Irrigation",Replacement,,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"ွှThe Underground Water Act ( India Act 4, 1930, Vol. VI)",Ministry of Construction,Replacement,,,
ဥပဒေအသစ်-မူပိုင်ခွင့်ဥပဒေ,"The Myanmar Copyright Act ( India Act 3, 1914, Vol. X)",Ministry of Education,Replacement,,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"ွှThe Myanmar Patents and Designs ( Emergency Provisions) Act, 1946 ( India Act 1, 1946, Vol. X)",Ministry of Education,Replacement,,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Oilfields Act ( Myanmar Act 1, 1918, Vol.V)",Ministry of Electricity and Energy,Replacement,,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Petroleum Act ( India Act 30, 1934, Vol. V)",Ministry of Electricity and Energy,Replacement,,,
ဥပဒေအသစ်- စိတ်ကျန်းမာရေးစောင့်ရှောက်မှုဥပဒေ,"The Lunacy Act ( India Act 4, 1912, Vol. IV)",Ministry of Health and Sports,Replacement,,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Geneva Convention Implementing Act ( India Act 14, 1936, Vol. V)",Ministry of Health and Sports,Replacement,,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Myanmar Medical Degrees Act ( India Act 7, 1916, Vol. IV)",Ministry of Health and Sports,Replacement,,,
ဥပဒေအသစ် - တရားခံလွှဲပြောင်းခြင်းဥပဒေ,"The Myanmar Extradition Act ( India Act, 15, 1903, Vol. I)",Ministry of Home Affairs,Replacement,,,
ဥပဒေအသစ် - ရဲတပ်ဖွဲ့ဥပဒေ,"The Yangon Police Act ( India Act 4, 1899, Vol. I)",Ministry of Home Affairs,Replacement,,,
ဥပဒေအသစ် - ရဲတပ်ဖွဲ့ဥပဒေ,"The Police Act, 1945 (6,1945)",Ministry of Home Affairs,Replacement,,,
ဥပဒေအသစ် - အကျဉ်းထောင်များဥပဒေ,"The Prisons Act ( India Act 9,1894, Vol. I)",Ministry of Home Affairs,Replacement,,,
ဥပဒေအသစ် - အကျဉ်းထောင်များဥပဒေ,"The Prisoners Act ( India Act 3, 1900, Vol. I)",Ministry of Home Affairs,Replacement,,,
ဥပဒေအသစ် - အကျဉ်းထောင်များဥပဒေ,"The Identification of Prisoners Act ( India Act 33, 1920, Vol. I)",Ministry of Home Affairs,Replacement,,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Arms Act ( India Act 2, 1878, Vol.II)",Ministry of Home Affairs,Replacement,,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Arms (Temporary Amendment ) Act (51,1951)",Ministry of Home Affairs,Replacement,,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Land Acquisition Act ( India Act 1, 1894, Vol.XI)",Ministry of Home Affairs,Replacement,,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Myanmar Excise Act ( India Act 5, 1917, Vol. III)",Ministry of Home Affairs,Replacement,,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Foreigners Act ( India Act 3, 1864, Vol. I)","Ministry of Labours, Immigration and Population ",Replacement,,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Registration of Foreigners Act ( Myanmar Act 7, 1940, Vol.I)","Ministry of Labours, Immigration and Population ",Replacement,,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Foreigners ( Extension) Act ( Act 11, 1949, Vol. XIII)","Ministry of Labours, Immigration and Population ",Replacement,,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Registrationof Foreigners (Extension) Act ( Act 20, 1949, Vol. XIII)","Ministry of Labours, Immigration and Population ",Replacement,,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Myanmar Immigration (Emergency Provisions) Act ( Myanmar Act 31, 1947, Vol.I)","Ministry of Labours, Immigration and Population ",Replacement,,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Myanmar Immigration (Emergency Provisions) (Extension) Act  (Act 25, 1949, Vol. XIII)","Ministry of Labours, Immigration and Population ",Replacement,,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Workmen's Compensation Act ( India Act 8, 1923, Vol. V)","Ministry of Labours, Immigration and Population ",Replacement,,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Explosives Act ( India Act 4, 1884, Vol. V)",Ministry of Natural Resources and Enviromental Conservation,Replacement,,,
မြန်မာနိုင်ငံကုမ္ပဏီအက်ဥပဒေ,"ွှThe Myanmar Companies Act ( India Act 7, 1913, Vol. IX)",Ministry of Planning and Finance,Replacement,,,
အထူးကုမ္ပဏီအက်ဥပဒေ ( ဥပဒေအမှတ် ၅၄/၁၉၅၀ ပြည့်နှစ်၊ အတွဲ-၉),Special Company Act,Ministry of Planning and Finance,Replacement,,,
ဥပဒေအသစ်- ပြည်သူ့ဘဏ္ဍာငွေစီမံခန့်ခွဲရေးဆိုင်ရာဥပဒေ,"The Administration of Public Funds Act ( Myanmar Act 3, 1943, Vol. IX)",Ministry of Planning and Finance,Replacement,,,
မြန်မာနိုင်ငံသင်္ဘောများမှတ်ပုံတင်ဥပဒေ,"The Myanmar Registration of Ships Act ( India Act 10, 1841, Vol. VII)",Ministry of Transportation and Information and Communications Technology,Replacement,,,
ဥပဒေအသစ်- မြန်မာနိုင်ငံကုန်သင်္ဘောဆိုင်ရာဥပဒေ,"The Myanmar Merchant Shipping Act ( India Act 21, 1923, Vol. VII)",Ministry of Transportation and Information and Communications Technology,Replacement,,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Myanmar Post Office Act ( India Act 6, 1898, Vol. VII)",Ministry of Transportation and Information and Communications Technology,Replacement,,,
ဥပဒေအသစ်- လူမွဲခံယူခြင်းဆိုင်ရာဥပဒေ,"The Yangon Insolvency Act ( India Act 3, 1909, Vol. XI)",Union Supreme Court,Replacement,,,
ဥပဒေအသစ်- လူမွဲခံယူခြင်းဆိုင်ရာဥပဒေ,"The Myanmar Insolvency Act ( India Act 5, 1920, Vol. XI)",Union Supreme Court,Replacement,,,
(မူရင်း အင်္ဂလိပ်ဘာသာဖြင့်),"The Partnership Act ( India Act 9, 1932, Vol. IX)",Ministry of Planning and Finance,Amendment,,,
